"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22006-24546","SF","Denzel","Denzel Valentine","Valentine","20.724999745686848","12","5000","CHA@CHI","CHI","CHA","","","",""
"22006-66108","PG","Jamal","Jamal Murray","Murray","20.478572300502233","14","4900","NO@DEN","DEN","NO","","","",""
"22006-9939","PG","Patty","Patty Mills","Mills","18.433333333333334","15","4900","OKC@SA","SA","OKC","","","",""
"22006-9957","PF","Serge","Serge Ibaka","Ibaka","22.97692401592548","13","4900","NY@TOR","TOR","NY","","","",""
"22006-9481","PF","Taj","Taj Gibson","Gibson","24.885713849748885","14","4900","MIN@DAL","MIN","DAL","","","",""
"22006-40783","SG","Zach","Zach LaVine","LaVine","28.882978723404257","47","4900","CHA@CHI","CHI","CHA","O","Knee","",""
"22006-9577","SF","Rudy","Rudy Gay","Gay","24","15","4900","OKC@SA","SA","OKC","","","",""
"22006-9585","SG","Dwyane","Dwyane Wade","Wade","21.550000871930802","14","4900","LAC@CLE","CLE","LAC","","","",""
"22006-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","17.25714329310826","7","4900","CHA@CHI","CHA","CHI","","","",""
"22006-80810","PG","De'Aaron","De'Aaron Fox","Fox","22.378570556640625","14","4900","POR@SAC","SAC","POR","","","",""
"22006-12350","PF","Trevor","Trevor Booker","Booker","22.089999389648437","10","4800","UTA@BKN","BKN","UTA","","","",""
"22006-15559","SG","Jeremy","Jeremy Lamb","Lamb","28.47692401592548","13","4800","CHA@CHI","CHA","CHI","","","",""
"22006-9495","SG","J.J.","J.J. Barea","Barea","22.04000040690104","15","4800","MIN@DAL","DAL","MIN","","","",""
"22006-9615","SF","Courtney","Courtney Lee","Lee","22.935714721679688","14","4800","NY@TOR","NY","TOR","","","",""
"22006-9661","C","Marcin","Marcin Gortat","Gortat","24.67142813546317","14","4800","MIA@WAS","WAS","MIA","","","",""
"22006-9758","SG","Danny","Danny Green","Green","21.699999128069198","14","4700","OKC@SA","SA","OKC","","","",""
