,Team,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Jonathon Simmons,ORL,21968-18821,SF,Jonathon,Simmons,22.65714373,14,4500,ORL@POR,POR,,,228.694818501,0.0990715219457,102.75,109.8,0.935792349727,21.1803688525,2.3,15.0,0.07,3.3,2.1,0.86,21.1803688525,212.460889201
Jordan Clarkson,LAL,21968-20640,SG,Jordan,Clarkson,22.84285627,14,4200,PHI@LAL,PHI,,,223.376675489,0.102261600143,108.25,103.3,1.04791868345,23.8748160697,2.0,15.5,0.0,2.4,2.7,0.79,23.8748160697,175.917585616
Jordan Mickey,MIA,21968-41063,PF,Jordan,Mickey,14.19999981,2,3000,WAS@MIA,WAS,,,257.900836692,0.0550599214494,106.0,101.9,1.04023552502,14.6908734053,1.0,5.0,1.0,6.0,0.0,0.0,14.6908734053,204.208416834
Josh Richardson,MIA,21968-16233,SF,Josh,Richardson,21.8615394,13,4900,WAS@MIA,WAS,,,257.900836692,0.084767229453,106.0,101.9,1.04023552502,22.4821099117,2.6,9.8,0.85,3.5,2.3,1.46,22.4821099117,217.951073954
Jrue Holiday,NO,21968-9663,PG,Jrue,Holiday,31.19285801,14,7000,TOR@NO,TOR,,,231.508290583,0.134737541932,110.25,107.4,1.02653631285,31.9652932961,3.3,14.1,0.29,5.1,6.5,1.21,31.9652932961,218.987510459
Julius Randle,LAL,21968-42669,PF,Julius,Randle,23.67857143,14,5300,PHI@LAL,PHI,,,223.376675489,0.106002882253,108.25,103.3,1.04791868345,24.7446902227,2.4,11.6,0.93,6.8,1.5,0.43,24.7446902227,214.18736514
Karl-Anthony Towns,MIN,21968-58462,C,Karl-Anthony,Towns,41.59230863,13,9600,SA@MIN,SA,,,220.176456758,0.188904432574,107.25,108.8,0.985753676471,41.1908639706,1.9,21.2,1.77,11.2,1.2,0.62,41.1908639706,233.061389702
Kay Felder,CHI,21968-43064,PG,Kay,Felder,8.588889228,9,3000,CHI@OKC,OKC,,,200.471067951,0.0428435350586,0.0,93.6,0.0,-0.94,1.6,5.1,0.0,1.0,2.1,0.22,-0.94,-3191.4893617
Kelly Olynyk,MIA,21968-22541,PF,Kelly,Olynyk,20.46153846,13,3700,WAS@MIA,WAS,,,257.900836692,0.0793387827758,106.0,101.9,1.04023552502,21.2669479882,2.3,9.8,0.54,5.8,1.7,0.62,21.2669479882,173.97888978
Kemba Walker,CHA,21968-14507,PG,Kemba,Walker,36.39166768,12,7800,CLE@CHA,CLE,,,263.2601722,0.138234611699,108.25,103.4,1.04690522244,38.0935783366,2.5,21.7,0.25,3.4,6.6,0.83,38.0935783366,204.758921073
Kent Bazemore,ATL,21968-19781,SG,Kent,Bazemore,29.91428484,14,5700,SAC@ATL,SAC,,,190.554761879,0.15698523902,104.5,102.6,1.01851851852,30.4590740741,2.5,13.9,0.5,4.2,3.9,2.07,30.4590740741,187.136351753
Kentavious Caldwell-Pope,LAL,21968-15636,SG,Kentavious,Caldwell-Pope,24.68333435,12,4900,PHI@LAL,PHI,,,223.376675489,0.110500947765,108.25,103.3,1.04791868345,25.8697725073,1.9,11.5,0.25,5.2,2.5,1.5,25.8697725073,189.410246983
Kevin Love,CLE,21968-9874,C,Kevin,Love,34.19285801,14,7200,CLE@CHA,CHA,,,203.46681143,0.168051279566,109.75,109.8,0.999544626594,34.1350045537,2.2,17.6,0.43,10.4,1.9,0.71,34.1350045537,210.927172682
